From,To,Time,From Addr,From city,To Addr,To city
1,1,0,"Warje, Pune, Maharashtra 411058, India",Pune,"Warje, Pune, Maharashtra 411058, India",Pune
1,2,4.901388888888889,"Warje, Pune, Maharashtra 411058, India",Pune,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
1,3,22.0525,"Warje, Pune, Maharashtra 411058, India",Pune,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
1,4,1.1,"Warje, Pune, Maharashtra 411058, India",Pune,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
1,5,0.6744444444444444,"Warje, Pune, Maharashtra 411058, India",Pune,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
1,6,5.543055555555555,"Warje, Pune, Maharashtra 411058, India",Pune,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
1,7,23.55361111111111,"Warje, Pune, Maharashtra 411058, India",Pune,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
1,8,0.6708333333333333,"Warje, Pune, Maharashtra 411058, India",Pune,Pune,Pune
1,9,4.4,"Warje, Pune, Maharashtra 411058, India",Pune,Mumbai,Mumbai
1,10,41.06777777777778,"Warje, Pune, Maharashtra 411058, India",Pune,Delhi,Delhi
1,11,15.551944444444445,"Warje, Pune, Maharashtra 411058, India",Pune,Bangalore,Bangalore
1,12,77.3386111111111,"Warje, Pune, Maharashtra 411058, India",Pune,Kolkatta,Kolkatta
2,1,4.949166666666667,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Warje, Pune, Maharashtra 411058, India",Pune
2,2,0,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
2,3,26.616666666666667,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
2,4,4.255,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
2,5,5.119166666666667,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
2,6,0.8986111111111111,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
